frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
117,1.0,[2052.423974573152 1147.2443660211732 2579.6574489546447 1602.8076586572404],[2221.070068359375 1440.6734619140625 2440.38427734375 1514.08447265625],0.38669353723526,AP05JEQ,0.2797187287275946
118,1.0,[2051.1064923773247 1151.910721354453 2580.7258035104815 1607.3954421924482],[2229.772216796875 1444.7490234375 2441.64697265625 1515.193359375],0.5206558108329773,AP05JEQ,0.29813831583207934
119,1.0,[2052.7222886646873 1155.4634221847066 2583.919014333985 1612.2899629372234],[2226.041259765625 1452.9615478515625 2431.908935546875 1521.45556640625],0.5026606321334839,AP05JEO,0.21912972911092532
120,1.0,[2051.9459812168275 1161.082790686045 2586.534211099983 1620.3123037156597],[2222.236083984375 1459.9600830078125 2416.796630859375 1529.3673095703125],0.5225738286972046,AP05JEO,0.17490088108715462
126,1.0,[2047.934326686619 1186.3620428845181 2594.8248665546116 1652.128069032686],[2235.396484375 1480.5633544921875 2437.78076171875 1556.7777099609375],0.515346884727478,AP05JEO,0.2968720102735672
127,1.0,[2048.7766004159926 1188.3930089318226 2596.6230739340986 1655.1196421733396],[2235.02490234375 1478.8890380859375 2439.895751953125 1552.0902099609375],0.4121975004673004,AP05JEO,0.20130754658127578
128,1.0,[2048.3338611711274 1189.7563074574143 2596.0672698769563 1658.346114381655],[2228.093505859375 1487.52392578125 2449.09228515625 1562.7974853515625],0.45546644926071167,AP05JEO,0.38507059102922525
130,1.0,[2048.057134627947 1196.64055051944 2598.1210159215857 1669.7676183888268],[2236.95654296875 1496.124755859375 2443.513427734375 1575.343505859375],0.47835808992385864,AP05JEO,0.512303824073099
132,1.0,[2045.8038324065626 1206.1152661979793 2601.056213468729 1680.8713087127396],[2242.24658203125 1501.9515380859375 2438.791259765625 1581.8953857421875],0.6217740178108215,AP05JEO,0.21389750755243897
133,1.0,[2045.5718549597846 1209.0779790149793 2603.9146683884105 1683.6672892097347],[2239.780029296875 1505.01708984375 2454.37890625 1587.971923828125],0.6067618131637573,AP05JEO,0.3596874113394518
134,1.0,[2044.461140669051 1211.5557289920885 2604.776886935735 1686.69427240074],[2238.27392578125 1512.346435546875 2454.98779296875 1587.7181396484375],0.6275562047958374,AP05JEO,0.4605528303788686
135,8.0,[1103.5935409338733 1123.426116841423 1610.914021168009 1555.3167863684127],[1266.342041015625 1376.4158935546875 1425.1123046875 1448.55322265625],0.6213770508766174,KH05ZIK,0.6714839178558261
136,8.0,[1101.7862087987533 1124.527639819264 1609.4189825220951 1558.793255733549],[1264.3538818359375 1382.7608642578125 1420.402587890625 1457.619873046875],0.6297845244407654,KH05ZTK,0.46706099861927275
138,1.0,[2046.1807515990474 1228.2453902607615 2617.4695743146135 1706.7691757849864],[2245.0634765625 1527.8665771484375 2461.073486328125 1620.8358154296875],0.6427539587020874,AP05JEO,0.257533523746006
142,1.0,[2050.4070509396383 1239.6889050802636 2628.315538357188 1729.6679231207133],[2240.482177734375 1547.7601318359375 2459.37158203125 1632.5035400390625],0.6559918522834778,AP05JEO,0.14964688507597917
144,1.0,[2046.9710256128333 1247.5410892582731 2633.0307047796764 1744.5211809053758],[2245.202880859375 1561.163818359375 2458.95947265625 1638.330322265625],0.6281902194023132,AP05JEO,0.2767602684042981
145,1.0,[2048.3943006190975 1251.806204047577 2636.5342643124914 1750.3575080887204],[2248.28759765625 1565.3961181640625 2462.747314453125 1636.6138916015625],0.5843940377235413,AP05JEO,0.17297759065338603
146,1.0,[2048.759207107842 1256.670724157517 2638.681414682232 1757.4542447721867],[2245.560302734375 1570.1517333984375 2471.4384765625 1644.69580078125],0.5623135566711426,AP05JEO,0.1562140328397687
148,8.0,[1063.0519036408225 1160.1613029422942 1582.7590508918554 1610.9837477542978],[1237.2855224609375 1431.4776611328125 1397.094482421875 1503.414306640625],0.5768240690231323,KH05ZZK,0.8204898424201083
150,1.0,[2054.220335046239 1273.263368111111 2656.1728149915048 1784.9175335038135],[2261.824462890625 1589.4122314453125 2482.48046875 1673.1463623046875],0.6137110590934753,AP05JEO,0.3586139929623202
151,1.0,[2056.2564474648534 1275.7209807999157 2660.766870940045 1789.750416849839],[2248.932861328125 1587.9737548828125 2475.01171875 1674.3460693359375],0.6072529554367065,AP05JEO,0.4364880337766629
152,1.0,[2051.5495637576114 1280.0759289227274 2658.671196010958 1793.9305694420889],[2260.407958984375 1595.0189208984375 2473.794677734375 1680.3790283203125],0.6481205224990845,AP05JEO,0.3211681233243504
156,1.0,[2054.1381004199798 1300.8796353139 2672.944054986768 1819.9607333675435],[2276.751953125 1622.1900634765625 2489.902587890625 1708.2998046875],0.6311482787132263,AP05JEO,0.4942808591145046
157,1.0,[2047.974732993867 1302.5850771921264 2668.585532043665 1823.0303265161365],[2269.25390625 1619.8388671875 2497.511474609375 1712.86083984375],0.6429517269134521,AP05JEO,0.5806570142329325
159,8.0,[1035.273764972386 1190.8305964809838 1570.3676607763089 1659.323051816666],[1219.02880859375 1483.3968505859375 1380.8336181640625 1551.928466796875],0.6090013980865479,KH05ZZK,0.4428308799429591
160,1.0,[2057.3829196045267 1315.0531560468933 2674.2881497583426 1838.4706426774294],[2277.71435546875 1646.44970703125 2486.36669921875 1724.658447265625],0.6046501398086548,AP05JEO,0.29413003679530797
161,1.0,[2057.209069271888 1319.7917761480076 2673.6708972332585 1844.6674192946693],[2274.9873046875 1652.630615234375 2497.95263671875 1727.09228515625],0.6003333330154419,AP05JEO,0.43961213294341067
162,1.0,[2053.4569496449603 1325.2070079800474 2674.443621272688 1853.2621757162383],[2279.83349609375 1659.513916015625 2494.72705078125 1740.833251953125],0.6570285558700562,AP05JEO,0.278102413368313
163,1.0,[2056.5450839830755 1329.0013738048929 2678.23222859582 1858.834694192909],[2276.477783203125 1664.5286865234375 2501.4052734375 1745.9139404296875],0.6501631140708923,AP05JEO,0.4257786615591572
165,1.0,[2068.6232452052245 1338.0728417540963 2686.339285808859 1874.7671806147632],[2279.76416015625 1675.9522705078125 2502.180908203125 1765.8673095703125],0.6433746218681335,AP05JEO,0.1493158665202447
166,1.0,[2066.8698972314573 1343.2623919598086 2684.00530375239 1881.4864855239734],[2280.805908203125 1678.8856201171875 2518.090087890625 1766.8956298828125],0.6236301064491272,AP05JEO,0.2033590910851789
167,1.0,[2063.0753149538536 1349.4121688766684 2684.1001662563444 1889.019578632576],[2282.20654296875 1685.66015625 2506.70068359375 1769.91796875],0.6039260625839233,AP05JEO,0.401290062196189
172,1.0,[2074.658376342816 1374.1854238679123 2699.2423140337633 1916.6329719577732],[2293.024169921875 1710.9931640625 2527.5771484375 1804.025390625],0.6251866817474365,AP05JEO,0.3239517142114637
173,1.0,[2080.163900109104 1379.1958857089562 2704.7820032378118 1923.552043021973],[2296.7470703125 1720.3795166015625 2534.162353515625 1813.6893310546875],0.6370396614074707,AP05JED,0.2811807025180043
177,8.0,[997.246912518709 1276.9209316055594 1556.856478000605 1750.1022597430806],[1188.7701416015625 1569.2427978515625 1354.632568359375 1635.8961181640625],0.6451091170310974,KH05ZIK,0.8286038234338843
178,8.0,[996.9964218669077 1279.358417871168 1556.2816741751628 1754.141842434255],[1185.072265625 1572.3709716796875 1353.748291015625 1640.4774169921875],0.6115301251411438,KH05ZIK,0.20756518943464963
179,8.0,[993.1167403823194 1281.6425927840319 1553.3979624177762 1759.4895197372853],[1188.1519775390625 1583.66455078125 1344.744873046875 1651.087646484375],0.5719491243362427,KN05ZZX,0.17006075293042458
180,8.0,[987.0624588817714 1285.085455949277 1548.0337040288778 1768.0614713938965],[1185.4444580078125 1589.635009765625 1349.3699951171875 1654.8604736328125],0.6315093040466309,KH05ZZR,0.48604980018844957
181,1.0,[2092.5825204772295 1426.5574505213194 2735.436280818041 1983.6026578816477],[2308.64892578125 1777.2081298828125 2544.143798828125 1865.8524169921875],0.6462107300758362,AP05JEO,0.2061965674115423
182,1.0,[2092.6991038468914 1429.2721905274955 2740.89103041025 1989.4253195540507],[2304.381103515625 1780.275146484375 2547.443359375 1871.718017578125],0.6633107662200928,AP05JED,0.1556364249102981
183,1.0,[2089.183495077055 1433.9803281573074 2748.0024744092666 1995.7456507343588],[2306.64794921875 1788.599853515625 2544.826416015625 1876.220947265625],0.6602593064308167,AP05JED,0.2042899784231025
184,1.0,[2088.8505908736506 1438.8837583697032 2752.882876714235 2001.2385166060158],[2305.673828125 1791.4757080078125 2552.70068359375 1876.7208251953125],0.6480932831764221,AP05JEO,0.28377075532756857
185,1.0,[2091.6158437996332 1445.6621557012238 2758.7635101738874 2009.1620287243538],[2318.830810546875 1800.1915283203125 2560.789306640625 1897.4183349609375],0.6391019225120544,AP05JEO,0.2824803324270446
189,8.0,[959.212375076178 1328.5108714725516 1533.2264873116956 1830.3976402971352],[1153.9888916015625 1642.839111328125 1335.4893798828125 1711.717529296875],0.6608442068099976,KH05ZZK,0.29467510310339745
190,1.0,[2089.947806606131 1478.8539321423104 2773.770460091494 2051.415310180657],[2330.34814453125 1837.3699951171875 2567.51513671875 1923.2259521484375],0.660021185874939,AP05JEO,0.256100032467247
191,1.0,[2086.485296426893 1487.4961975106721 2770.7434898517686 2061.63537050627],[2323.45703125 1847.309326171875 2572.497314453125 1937.9263916015625],0.6492233276367188,AP05JEO,0.27326972786694675
192,1.0,[2087.686804044848 1495.9036838862232 2774.226097701224 2071.3447942363605],[2318.752685546875 1857.7318115234375 2576.651611328125 1957.0130615234375],0.6559094190597534,AP05JEO,0.6119859313231054
193,1.0,[2089.947106762134 1501.4692393334317 2775.115315395788 2078.098656020148],[2328.580810546875 1860.983642578125 2578.1455078125 1956.400634765625],0.6485264301300049,AP05JEO,0.9397423691521372
195,8.0,[938.3727080263991 1358.1846462239678 1525.5738011545416 1867.0438197815793],[1139.77294921875 1682.6441650390625 1319.901611328125 1749.0045166015625],0.6306227445602417,KH05ZTK,0.2011298469636483
